page,article_headline,article_timestamp,article_url
https://www.theguardian.com/world/coronavirus-outbreak/all,"Covid live news: Beta variant may evade vaccines, say experts as UK faces ‘protracted’ period of high infections rates ",2021-07-17T09:13:19+0000,https://www.theguardian.com/world/live/2021/jul/17/covid-live-news-beta-variant-may-evade-vaccines-say-experts-as-uk-faces-protracted-period-of-high-infections-rates
https://www.theguardian.com/world/coronavirus-outbreak/all,"Unvaccinated could be breeding ground for Covid variants, US officials fear",2021-07-17T09:00:57+0000,https://www.theguardian.com/world/2021/jul/17/unvaccinated-coronavirus-covid-variants-us
https://www.theguardian.com/world/coronavirus-outbreak/all,Holiday Covid tests: how to find the best by price and trust,2021-07-17T09:00:56+0000,https://www.theguardian.com/money/2021/jul/17/holiday-covid-tests-best-price-trust-time-provider
https://www.theguardian.com/world/coronavirus-outbreak/all,Tough new rules to combat outbreak as more than 100 infections recorded – as it happened,2021-07-17T08:58:57+0000,https://www.theguardian.com/australia-news/live/2021/jul/17/covid-australia-live-news-update-nsw-considers-tougher-lockdown-as-victorian-exposure-sites-rise
https://www.theguardian.com/world/coronavirus-outbreak/all,Covid countdown brings heartbreak and hope for Irish pubs,2021-07-17T07:00:55+0000,https://www.theguardian.com/world/2021/jul/17/covid-countdown-brings-heartbreak-and-hope-for-irish-pubs
https://www.theguardian.com/world/coronavirus-outbreak/all,"Couple left £1,400 out of pocket after holiday hotel is overbooked",2021-07-17T07:00:55+0000,https://www.theguardian.com/business/2021/jul/17/couple-hotel-overbooked-holiday-accommodation
https://www.theguardian.com/world/coronavirus-outbreak/all,Victoria Covid update: ‘enormous frustration’ as 19 new coronavirus cases reported,2021-07-17T06:53:14+0000,https://www.theguardian.com/australia-news/2021/jul/17/victoria-covid-update-enormous-frustration-as-19-new-coronavirus-cases-reported
https://www.theguardian.com/world/coronavirus-outbreak/all,Sydney lockdown shock as Gladys Berejiklian admits NSW has failed to ‘quash’ Covid outbreak,2021-07-17T06:28:01+0000,https://www.theguardian.com/australia-news/2021/jul/17/sydney-lockdown-shock-as-gladys-berejiklian-admits-nsw-has-failed-to-quash-covid-outbreak
https://www.theguardian.com/world/coronavirus-outbreak/all,Eight clubs tied up in Covid drama but AFL pushes on with round 18,2021-07-17T06:07:37+0000,https://www.theguardian.com/sport/2021/jul/17/covid-19-headache-worsens-for-afl-as-players-staff-forced-into-isolation
https://www.theguardian.com/world/coronavirus-outbreak/all,Scarborough predicts a bumper tourism season (if it can find enough staff),2021-07-17T06:00:54+0000,https://www.theguardian.com/business/2021/jul/17/scarborough-predicts-a-bumper-tourism-season-if-it-can-find-enough-staff
https://www.theguardian.com/world/coronavirus-outbreak/all,Pressure builds on ministers to reach a decision on Covid vaccines for children,2021-07-17T06:00:53+0000,https://www.theguardian.com/society/2021/jul/17/pressure-builds-on-ministers-to-reach-a-decision-on-covid-vaccines-for-children
https://www.theguardian.com/world/coronavirus-outbreak/all,Delays aggravate debate over Covid jabs for UK children,2021-07-17T06:00:53+0000,https://www.theguardian.com/world/2021/jul/17/delays-aggravate-debate-over-covid-jabs-for-uk-children
https://www.theguardian.com/world/coronavirus-outbreak/all,Tory jitters mount at political drift of Boris Johnson’s government ,2021-07-17T06:00:53+0000,https://www.theguardian.com/politics/2021/jul/17/tory-jitters-mount-at-political-drift-of-boris-johnsons-government
https://www.theguardian.com/world/coronavirus-outbreak/all,Scott Morrison urges Apec leaders to ramp up mRNA vaccine production and boasts of Australian economy,2021-07-17T05:32:25+0000,https://www.theguardian.com/australia-news/2021/jul/17/scott-morrison-urges-apec-leaders-to-ramp-up-mrna-vaccine-production-and-boasts-of-australian-economy
https://www.theguardian.com/world/coronavirus-outbreak/all,Train operators face calls to publish research on Covid risks,2021-07-17T05:00:52+0000,https://www.theguardian.com/uk-news/2021/jul/17/train-operators-face-calls-to-publish-research-on-covid-risks
https://www.theguardian.com/world/coronavirus-outbreak/all,Thailand bans public gatherings as Covid cases hit record high,2021-07-17T04:58:05+0000,https://www.theguardian.com/world/2021/jul/17/thailand-bans-public-gatherings-as-covid-cases-hit-record-high
https://www.theguardian.com/world/coronavirus-outbreak/all,New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained,2021-07-17T02:15:18+0000,https://www.theguardian.com/australia-news/2021/jul/16/sydney-covid-19-lockdown-restrictions-nsw-update-coronavirus-face-mask-rules-explained-greater-syd-masks-indoors-singing-dancing-weddings-public-transport-new-south-wales
https://www.theguardian.com/world/coronavirus-outbreak/all,‘They’re killing people’: Biden slams Facebook for Covid disinformation ,2021-07-17T02:04:13+0000,https://www.theguardian.com/media/2021/jul/17/theyre-killing-people-biden-slams-facebook-for-covid-misinformation
